id, cycle 60-year s,year start date,Year end date,Associated Element,Heavenly Stem,Earthly Branch,Associated  Animal in Chinese,Associated Animal
108,48,"Jan 23,ÿ2031ÿ"," Feb 10, 2032",Yin Metal,?,?,?,Pig
109,49,"Feb 11,ÿ2032ÿ"," Jan 30, 2033",Yang Water,?,?,?,Rat
110,50,"Jan 31,ÿ2033ÿ"," Feb 18, 2034",Yin Water,?,?,?,Ox
111,51,"Feb 19,ÿ2034ÿ"," Feb ÿ7, 2035",Yang Wood,?,?,?,Tiger
112,52,"Feb ÿ8,ÿ2035ÿ"," Jan 27, 2036",Yin Wood,?,?,?,Rabbit
113,53,"Jan 28,ÿ2036ÿ"," Feb 14, 2037",Yang Fire,?,?,?,Dragon
114,54,"Feb 15,ÿ2037ÿ"," Feb ÿ3, 2038",Yin Fire,?,?,?,Snake
115,55,"Feb ÿ4,ÿ2038ÿ"," Jan 23, 2039",Yang Earth,?,?,?,Horse
116,56,"Jan 24,ÿ2039ÿ"," Feb 11, 2040",Yin Earth,?,?,?,Goat
117,57,"Feb 12,ÿ2040ÿ"," Jan 31, 2041",Yang Metal,?,?,?,Monkey
118,58,"Feb ÿ1,ÿ2041ÿ"," Jan 21, 2042",Yin Metal,?,?,?,Rooster
119,59,"Jan 22,ÿ2042ÿ"," Feb ÿ9, 2043",Yang Water,?,?,?,Dog
120,60,"Feb 10,ÿ2043ÿ"," Jan 29, 2044",Yin Water,?,?,?,Pig
